"Statistic","Annual","Local Government Districts","Components of Change","UNIT","VALUE"
"Components of population change - Local Government Districts","2013-2014","Belfast","End population","Count","336830"
"Components of population change - Local Government Districts","2013-2014","Causeway Coast and Glens","Starting population","Count","141699"
"Components of population change - Local Government Districts","2013-2014","Causeway Coast and Glens","Births","Count","1675"
"Components of population change - Local Government Districts","2013-2014","Causeway Coast and Glens","Deaths","Count","1071"
"Components of population change - Local Government Districts","2013-2014","Causeway Coast and Glens","Natural Change","Count","604"
"Components of population change - Local Government Districts","2013-2014","Causeway Coast and Glens","Internal Inflows","Count","3567"
"Components of population change - Local Government Districts","2013-2014","Causeway Coast and Glens","Internal Outflows","Count","3556"
"Components of population change - Local Government Districts","2013-2014","Causeway Coast and Glens","Internal Net","Count","11"
"Components of population change - Local Government Districts","2013-2014","Causeway Coast and Glens","United Kingdom Inflows","Count","911"
"Components of population change - Local Government Districts","2013-2014","Causeway Coast and Glens","United Kingdom Outflows","Count","950"
"Components of population change - Local Government Districts","2013-2014","Causeway Coast and Glens","United Kingdom Net","Count","-39"
"Components of population change - Local Government Districts","2013-2014","Causeway Coast and Glens","Rest of world Inflows","Count","632"
"Components of population change - Local Government Districts","2013-2014","Causeway Coast and Glens","Rest of world Outflows","Count","678"
"Components of population change - Local Government Districts","2013-2014","Causeway Coast and Glens","Rest of world Net","Count","-46"
"Components of population change - Local Government Districts","2013-2014","Causeway Coast and Glens","Total Inflows","Count","5110"
"Components of population change - Local Government Districts","2013-2014","Causeway Coast and Glens","Total Outflows","Count","5184"
"Components of population change - Local Government Districts","2013-2014","Causeway Coast and Glens","Total Net","Count","-74"
"Components of population change - Local Government Districts","2013-2014","Causeway Coast and Glens","Other changes","Count","74"
"Components of population change - Local Government Districts","2013-2014","Causeway Coast and Glens","Migration and other changes","Count","0"
"Components of population change - Local Government Districts","2013-2014","Causeway Coast and Glens","End population","Count","142303"
"Components of population change - Local Government Districts","2013-2014","Derry City and Strabane","Starting population","Count","148632"
"Components of population change - Local Government Districts","2013-2014","Derry City and Strabane","Births","Count","2045"
"Components of population change - Local Government Districts","2013-2014","Derry City and Strabane","Deaths","Count","1015"
"Components of population change - Local Government Districts","2013-2014","Derry City and Strabane","Natural Change","Count","1030"
"Components of population change - Local Government Districts","2013-2014","Derry City and Strabane","Internal Inflows","Count","2237"
"Components of population change - Local Government Districts","2013-2014","Derry City and Strabane","Internal Outflows","Count","2610"
"Components of population change - Local Government Districts","2013-2014","Derry City and Strabane","Internal Net","Count","-373"
"Components of population change - Local Government Districts","2013-2014","Derry City and Strabane","United Kingdom Inflows","Count","867"
"Components of population change - Local Government Districts","2013-2014","Derry City and Strabane","United Kingdom Outflows","Count","990"
"Components of population change - Local Government Districts","2013-2014","Derry City and Strabane","United Kingdom Net","Count","-123"
"Components of population change - Local Government Districts","2013-2014","Derry City and Strabane","Rest of world Inflows","Count","683"
"Components of population change - Local Government Districts","2013-2014","Derry City and Strabane","Rest of world Outflows","Count","885"
"Components of population change - Local Government Districts","2013-2014","Derry City and Strabane","Rest of world Net","Count","-202"
